Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1.1566620102635137,73.70370370370371,0.5353322991076306,85.03703703703704
2,0.4404502399541714,87.9675925925926,0.424453242312698,87.61111111111111
3,0.3463347659618766,90.44907407407408,0.36499898314211493,89.46296296296296
4,0.2959101086799745,91.73611111111111,0.35590720535999926,89.77777777777777
5,0.2528018761591779,92.88888888888889,0.3480408390730443,89.92592592592592
6,0.24259828610138762,93.08333333333333,0.3544251456437908,90.14814814814815
7,0.22496750879204935,93.60185185185185,0.33992482501374194,90.0925925925926
8,0.20766779032708318,94.14814814814815,0.33005443235209003,90.51851851851852
9,0.18741993123596465,94.66203703703704,0.32198775869920937,91.0
10,0.18533615862364294,94.64351851851852,0.3158435490886135,91.37037037037037
11,0.16842178970713306,95.21296296296296,0.3224572214579,91.51851851851852
12,0.17091281899975405,95.19907407407408,0.3396562264857472,90.53703703703704
13,0.161956762564541,95.43981481481481,0.3458976984332652,90.72222222222223
14,0.15545236869335727,95.52314814814815,0.3512857809839164,90.48148148148148
15,0.14636613934559542,95.81018518518519,0.3279618427664394,90.5
16,0.1433388865870182,95.87962962962963,0.32904692117907325,90.68518518518519
17,0.12034199833731961,96.59722222222223,0.28532100608847905,92.62962962962963
18,0.11168884207460064,96.81481481481481,0.28591699972087464,92.38888888888889
19,0.1107436879410374,96.82407407407408,0.2696892558569474,92.83333333333333
20,0.10267138812035598,97.14351851851852,0.29786059854430913,91.92592592592592
21,0.09801869391222243,97.11574074074075,0.2846252071497598,92.75925925925925
22,0.10114711355228254,97.14351851851852,0.2780646461271543,92.68518518518519
23,0.099487931594701,97.19444444444444,0.29215325389509283,92.5925925925926
